timestamp,snapshot,pod,cpu,ram
17:56:25,7,currencyservice-7c8fc8fc9c-rtbz4,42m,121Mi
17:56:25,7,recommendationservice-7444754ff5-kk4vc,33m,80Mi
17:56:25,7,cartservice-db96d6fcc-tsdhc,23m,145Mi
17:56:25,7,productcatalogservice-65bbf699df-d9cxl,22m,42Mi
17:56:25,7,adservice-574bff445c-k5l76,9m,274Mi
17:56:25,7,emailservice-66944ff59-zvg4w,4m,56Mi
17:56:25,7,redis-cart-c8ff86559-gpcc7,4m,36Mi
17:56:25,7,shippingservice-f956b6d9f-ml5cg,4m,31Mi
17:56:25,7,paymentservice-9bfb7bf5-9mdwz,3m,125Mi
17:56:25,7,checkoutservice-5b6d96c9b7-fwtng,3m,37Mi
17:56:25,7,productcatalogservice-65bbf699df-2hv25,1m,18Mi
17:56:25,7,productcatalogservice-65bbf699df-8ztwv,1m,16Mi
17:56:25,7,frontend-7bd6f45654-dnhzb,51m,41Mi
17:56:25,7,currencyservice-7c8fc8fc9c-rtbz4,42m,121Mi
17:56:25,7,recommendationservice-7444754ff5-kk4vc,33m,80Mi
17:56:25,7,cartservice-db96d6fcc-tsdhc,23m,145Mi
17:56:25,7,productcatalogservice-65bbf699df-d9cxl,22m,42Mi
17:56:25,7,adservice-574bff445c-k5l76,9m,274Mi
17:56:25,7,emailservice-66944ff59-zvg4w,4m,56Mi
17:56:25,7,redis-cart-c8ff86559-gpcc7,4m,36Mi
17:56:25,7,shippingservice-f956b6d9f-ml5cg,4m,31Mi
17:56:25,7,paymentservice-9bfb7bf5-9mdwz,3m,125Mi
17:56:25,7,checkoutservice-5b6d96c9b7-fwtng,3m,37Mi
17:56:25,7,productcatalogservice-65bbf699df-2hv25,1m,18Mi
17:56:25,7,productcatalogservice-65bbf699df-8ztwv,1m,16Mi
17:56:35,8,frontend-7bd6f45654-dnhzb,48m,41Mi
17:56:35,8,currencyservice-7c8fc8fc9c-rtbz4,39m,121Mi
17:56:35,8,recommendationservice-7444754ff5-kk4vc,34m,80Mi
17:56:35,8,cartservice-db96d6fcc-tsdhc,23m,145Mi
17:56:35,8,productcatalogservice-65bbf699df-d9cxl,21m,42Mi
17:56:35,8,adservice-574bff445c-k5l76,10m,274Mi
17:56:35,8,emailservice-66944ff59-zvg4w,4m,56Mi
17:56:35,8,redis-cart-c8ff86559-gpcc7,4m,36Mi
17:56:35,8,shippingservice-f956b6d9f-ml5cg,3m,31Mi
17:56:35,8,paymentservice-9bfb7bf5-9mdwz,2m,125Mi
17:56:35,8,checkoutservice-5b6d96c9b7-fwtng,2m,37Mi
17:56:35,8,productcatalogservice-65bbf699df-2hv25,1m,18Mi
17:56:35,8,productcatalogservice-65bbf699df-8ztwv,1m,16Mi
17:56:35,8,frontend-7bd6f45654-dnhzb,48m,41Mi
17:56:35,8,currencyservice-7c8fc8fc9c-rtbz4,39m,121Mi
17:56:35,8,recommendationservice-7444754ff5-kk4vc,34m,80Mi
17:56:35,8,cartservice-db96d6fcc-tsdhc,23m,145Mi
17:56:35,8,productcatalogservice-65bbf699df-d9cxl,21m,42Mi
17:56:35,8,adservice-574bff445c-k5l76,10m,274Mi
17:56:35,8,emailservice-66944ff59-zvg4w,4m,56Mi
17:56:35,8,redis-cart-c8ff86559-gpcc7,4m,36Mi
17:56:35,8,shippingservice-f956b6d9f-ml5cg,3m,31Mi
17:56:35,8,paymentservice-9bfb7bf5-9mdwz,2m,125Mi
17:56:35,8,checkoutservice-5b6d96c9b7-fwtng,2m,37Mi
17:56:35,8,productcatalogservice-65bbf699df-2hv25,1m,18Mi
17:56:35,8,productcatalogservice-65bbf699df-8ztwv,1m,16Mi
17:56:45,9,frontend-7bd6f45654-dnhzb,45m,41Mi
17:56:45,9,currencyservice-7c8fc8fc9c-rtbz4,36m,121Mi
