timestamp,snapshot,pod,cpu_m,ram_mi
18:08:10,7,paymentservice-9bfb7bf5-w2dt7,2,66
18:08:10,7,paymentservice-9bfb7bf5-x4kz9,2,63
18:08:10,7,productcatalogservice-65bbf699df-2hv25,1,19
18:08:10,7,productcatalogservice-65bbf699df-8ztwv,3,19
18:08:10,7,productcatalogservice-65bbf699df-d9cxl,11,42
18:08:10,7,recommendationservice-7444754ff5-kk4vc,18,80
18:08:10,7,recommendationservice-7444754ff5-w69fs,7,54
18:08:10,7,recommendationservice-7444754ff5-w769g,3,51
18:08:10,7,redis-cart-c8ff86559-gpcc7,3,36
18:08:10,7,shippingservice-f956b6d9f-g5j6b,1,15
18:08:10,7,shippingservice-f956b6d9f-m2h7g,2,15
18:08:10,7,shippingservice-f956b6d9f-ml5cg,2,31
18:08:20,8,adservice-574bff445c-2zzqg,6,146
18:08:20,8,adservice-574bff445c-4w7zh,23,178
18:08:20,8,adservice-574bff445c-k5l76,10,275
18:08:20,8,cartservice-db96d6fcc-6kndn,14,125
18:08:20,8,cartservice-db96d6fcc-tsdhc,18,145
18:08:20,8,cartservice-db96d6fcc-x6v6f,14,94
18:08:20,8,checkoutservice-5b6d96c9b7-fwtng,3,37
18:08:20,8,checkoutservice-5b6d96c9b7-lwnbx,1,15
18:08:20,8,checkoutservice-5b6d96c9b7-tvvwl,1,15
18:08:20,8,currencyservice-7c8fc8fc9c-6tsnv,25,98
18:08:20,8,currencyservice-7c8fc8fc9c-rtbz4,21,124
18:08:20,8,currencyservice-7c8fc8fc9c-s92sq,7,73
18:08:20,8,emailservice-66944ff59-62x8j,8,56
18:08:20,8,emailservice-66944ff59-xh284,10,56
18:08:20,8,emailservice-66944ff59-zvg4w,5,56
18:08:20,8,frontend-7bd6f45654-dnhzb,19,43
18:08:20,8,frontend-7bd6f45654-jwp2b,20,21
18:08:20,8,frontend-7bd6f45654-xmsf8,8,21
18:08:20,8,paymentservice-9bfb7bf5-9mdwz,3,126
18:08:20,8,paymentservice-9bfb7bf5-w2dt7,8,66
18:08:20,8,paymentservice-9bfb7bf5-x4kz9,4,64
18:08:20,8,productcatalogservice-65bbf699df-2hv25,2,19
18:08:20,8,productcatalogservice-65bbf699df-8ztwv,3,19
18:08:20,8,productcatalogservice-65bbf699df-d9cxl,14,42
18:08:20,8,recommendationservice-7444754ff5-kk4vc,22,80
18:08:20,8,recommendationservice-7444754ff5-w69fs,9,54
18:08:20,8,recommendationservice-7444754ff5-w769g,5,51
18:08:20,8,redis-cart-c8ff86559-gpcc7,4,36
18:08:20,8,shippingservice-f956b6d9f-g5j6b,2,15
18:08:20,8,shippingservice-f956b6d9f-m2h7g,2,15
18:08:20,8,shippingservice-f956b6d9f-ml5cg,3,31
18:08:30,9,adservice-574bff445c-2zzqg,6,146
18:08:30,9,adservice-574bff445c-4w7zh,23,178
18:08:30,9,adservice-574bff445c-k5l76,10,275
18:08:30,9,cartservice-db96d6fcc-6kndn,14,125
18:08:30,9,cartservice-db96d6fcc-tsdhc,18,145
18:08:30,9,cartservice-db96d6fcc-x6v6f,14,94
18:08:30,9,checkoutservice-5b6d96c9b7-fwtng,3,37
18:08:30,9,checkoutservice-5b6d96c9b7-lwnbx,1,15
18:08:30,9,checkoutservice-5b6d96c9b7-tvvwl,1,15
18:08:30,9,currencyservice-7c8fc8fc9c-6tsnv,25,98
18:08:30,9,currencyservice-7c8fc8fc9c-rtbz4,21,124
18:08:30,9,currencyservice-7c8fc8fc9c-s92sq,7,73
18:08:30,9,emailservice-66944ff59-62x8j,8,56
18:08:30,9,emailservice-66944ff59-xh284,10,56
18:08:30,9,emailservice-66944ff59-zvg4w,5,56
18:08:30,9,frontend-7bd6f45654-dnhzb,19,43
18:08:30,9,frontend-7bd6f45654-jwp2b,20,21
18:08:30,9,frontend-7bd6f45654-xmsf8,8,21
18:08:30,9,paymentservice-9bfb7bf5-9mdwz,3,126
18:08:30,9,paymentservice-9bfb7bf5-w2dt7,8,66
18:08:30,9,paymentservice-9bfb7bf5-x4kz9,4,64
18:08:30,9,productcatalogservice-65bbf699df-2hv25,2,19
18:08:30,9,productcatalogservice-65bbf699df-8ztwv,3,19
18:08:30,9,productcatalogservice-65bbf699df-d9cxl,14,42
18:08:30,9,recommendationservice-7444754ff5-kk4vc,22,80
18:08:30,9,recommendationservice-7444754ff5-w69fs,9,54
18:08:30,9,recommendationservice-7444754ff5-w769g,5,51
18:08:30,9,redis-cart-c8ff86559-gpcc7,4,36
18:08:30,9,shippingservice-f956b6d9f-g5j6b,2,15
18:08:30,9,shippingservice-f956b6d9f-m2h7g,2,15
18:08:30,9,shippingservice-f956b6d9f-ml5cg,3,31
18:08:40,10,adservice-574bff445c-2zzqg,6,146
18:08:40,10,adservice-574bff445c-4w7zh,30,181
18:08:40,10,adservice-574bff445c-k5l76,5,275
18:08:40,10,cartservice-db96d6fcc-6kndn,9,125
18:08:40,10,cartservice-db96d6fcc-tsdhc,12,145
18:08:40,10,cartservice-db96d6fcc-x6v6f,15,94
18:08:40,10,checkoutservice-5b6d96c9b7-fwtng,4,37
18:08:40,10,checkoutservice-5b6d96c9b7-lwnbx,1,15
18:08:40,10,checkoutservice-5b6d96c9b7-tvvwl,1,15
18:08:40,10,currencyservice-7c8fc8fc9c-6tsnv,28,98
18:08:40,10,currencyservice-7c8fc8fc9c-rtbz4,13,124
18:08:40,10,currencyservice-7c8fc8fc9c-s92sq,14,72
18:08:40,10,emailservice-66944ff59-62x8j,5,56
18:08:40,10,emailservice-66944ff59-xh284,6,56
18:08:40,10,emailservice-66944ff59-zvg4w,5,56
